empno,ename,job,mgr,hiredate,sal,comm,deptno
7369,Smith,Clerk,7902,1980-12-17,800,NULL,20
7499,Allen,Salesman,7698,1981-02-20,1600,300,30
7521,Ward,Salesman,7698,1981-02-22,1250,500,30
7566,Jones,Manager,7839,1981-04-02,2975,NULL,20
7654,Martin,Salesman,7698,1981-09-28,1250,1400,30
7698,Blake,Manager,7839,1981-05-01,2850,NULL,30
7782,Clark,Manager,7839,1981-06-09,2450,NULL,10
7788,Scott,Analyst,7566,1987-04-19,3000,NULL,20
7839,King,President,NULL,1981-11-17,5000,NULL,10
7844,Turner,Salesman,7698,1981-09-08,1500,0,30
7876,Adams,Clerk,7788,1987-05-23,1100,NULL,20
7900,James,Clerk,7698,1981-12-03,950,NULL,30
7902,Ford,Analyst,7566,1981-12-03,3000,NULL,20
7934,Miller,Clerk,7782,1982-01-23,1300,NULL,10
